Vertex              Tree      Parent              
12345971068         5         12349571068         
12345971068         6         12345971086         
12345971068         7         12345910768         
12345971068         8         12345976108         
12345971068         9         12345791068         
12345971086         1         21345971086         
12345971086         2         13245971086         
12345971086         3         12435971086         
12345971086         4         12354971086         
12345971086         5         12349571086         
12345971086         6         12345978106         
12345971086         7         12345910786         
12345971086         8         12345971068         
12345971086         9         12345791086         
12345986710         1         21345986710         
12345986710         2         13425986710         
12345986710         3         12435986710         
12345986710         4         12354986710         
12345986710         5         12349586710         
12345986710         6         12345987610         
12345986710         7         12345986107         
12345986710         8         12345968710         
12345986710         9         12345986107         
12345986107         1         21345986107         
12345986107         2         13245986107         
12345986107         3         12435986107         
12345986107         4         12354986107         
12345986107         5         12349586107         
12345986107         6         12345981067         
12345986107         7         12345986710         
12345986107         8         12345968107         
12345986107         9         12345896107         
12345987610         1         21345987610         
12345987610         2         13425987610         
12345987610         3         12435987610         
12345987610         4         12354987610         
12345987610         5         12349587610         
12345987610         6         12345987106         
12345987610         7         12345986710         
12345987610         8         12345978610         
12345987610         9         12345987106         
12345987106         1         21345987106         
12345987106         2         13245987106         
12345987106         3         12435987106         
12345987106         4         12354987106         
12345987106         5         12349587106         
12345987106         6         12345987610         
12345987106         7         12345981076         
12345987106         8         12345978106         
12345987106         9         12345897106         
12345981067         1         21345981067         
12345981067         2         13245981067         
12345981067         3         12435981067         
12345981067         4         12354981067         
12345981067         5         12349581067         
12345981067         6         12345981076         
12345981067         7         12345986107         
12345981067         8         12345910867         
12345981067         9         12345891067         
12345981076         1         21345981076         
12345981076         2         13245981076         
12345981076         3         12435981076         
12345981076         4         12354981076         
12345981076         5         12349581076         
12345981076         6         12345987106         
12345981076         7         12345981067         
12345981076         8         12345910876         
12345981076         9         12345891076         
12345910678         1         21345910678         
12345910678         2         13245910678         
12345910678         3         12435910678         
12345910678         4         12354910678         
12345910678         5         12349510678         
12345910678         6         12345910768         
12345910678         7         12345910687         
12345910678         8         12345961078         
12345910678         9         12345109678         
12345910687         1         21345910687         
12345910687         2         13245910687         
12345910687         3         12435910687         
12345910687         4         12354910687         
12345910687         5         12349510687         
12345910687         6         12345910867         
12345910687         7         12345961087         
12345910687         8         12345910678         
12345910687         9         12345109687         
12345910768         1         21345910768         
12345910768         2         13245910768         
12345910768         3         12435910768         
12345910768         4         12354910768         
12345910768         5         12349510768         
12345910768         6         12345910786         
12345910768         7         12345910678         
12345910768         8         12345971068         
12345910768         9         12345109768         
12345910786         1         21345910786         
12345910786         2         13245910786         
12345910786         3         12435910786         
12345910786         4         12354910786         
12345910786         5         12349510786         
12345910786         6         12345971086         
12345910786         7         12345910876         
12345910786         8         12345910768         
12345910786         9         12345109786         
12345910867         1         21345910867         
12345910867         2         13245910867         
12345910867         3         12435910867         
12345910867         4         12354910867         
12345910867         5         12349510867         
12345910867         6         12345910876         
12345910867         7         12345981067         
12345910867         8         12345910687         
12345910867         9         12345109867         
12345910876         1         21345910876         
12345910876         2         13245910876         
12345910876         3         12435910876         
12345910876         4         12354910876         
12345910876         5         12349510876         
12345910876         6         12345981076         
12345910876         7         12345910867         
12345910876         8         12345910786         
12345910876         9         12345109876         
12345106789         1         21345106789         
12345106789         2         13245106789         
12345106789         3         12435106789         
12345106789         4         12354106789         
12345106789         5         12341056789         
12345106789         6         12345107689         
12345106789         7         12345106879         
12345106789         8         12345106798         
12345106789         9         12345610789         
12345106798         1         21345106798         
12345106798         2         13245106798         
12345106798         3         12435106798         
12345106798         4         12354106798         
12345106798         5         12341056798         
12345106798         6         12345107698         
12345106798         7         12345106978         
12345106798         8         12345610798         
12345106798         9         12345106789         
12345106879         1         21345106879         
12345106879         2         13245106879         
12345106879         3         12435106879         
12345106879         4         12354106879         
12345106879         5         12341056879         
12345106879         6         12345108679         
12345106879         7         12345106897         
12345106879         8         12345106789         
12345106879         9         12345610879         
12345106897         1         21345106897         
12345106897         2         13245106897         
12345106897         3         12435106897         
12345106897         4         12354106897         
12345106897         5         12341056897         
12345106897         6         12345108697         
12345106897         7         12345610897         
12345106897         8         12345106987         
12345106897         9         12345106879         
12345106978         1         21345106978         
12345106978         2         13245106978         
12345106978         3         12435106978         
12345106978         4         12354106978         
12345106978         5         12341056978         
12345106978         6         12345109678         
12345106978         7         12345106987         
12345106978         8         12345610978         
12345106978         9         12345106798         
12345106987         1         21345106987         
12345106987         2         13245106987         
12345106987         3         12435106987         
12345106987         4         12354106987         
12345106987         5         12341056987         
12345106987         6         12345109687         
12345106987         7         12345610987         
12345106987         8         12345106978         
12345106987         9         12345106897         
12345107689         1         21345107689         
12345107689         2         13245107689         
12345107689         3         12435107689         
12345107689         4         12354107689         
12345107689         5         12341057689         
12345107689         6         12345107869         
12345107689         7         12345106789         
12345107689         8         12345107698         
12345107689         9         12345710689         
12345107698         1         21345107698         
12345107698         2         13245107698         
12345107698         3         12435107698         
12345107698         4         12354107698         
12345107698         5         12341057698         
12345107698         6         12345107968         
12345107698         7         12345106798         
12345107698         8         12345710698         
12345107698         9         12345107689         
12345107869         1         21345107869         
12345107869         2         13245107869         
12345107869         3         12435107869         
12345107869         4         12354107869         
12345107869         5         12341057869         
12345107869         6         12345107896         
12345107869         7         12345108769         
12345107869         8         12345107689         
12345107869         9         12345710869         
12345107896         1         21345107896         
12345107896         2         13245107896         
12345107896         3         12435107896         
12345107896         4         12354107896         
12345107896         5         12341057896         
12345107896         6         12345710896         
12345107896         7         12345108796         
12345107896         8         12345107986         
12345107896         9         12345107869         
12345107968         1         21345107968         
12345107968         2         13245107968         
